Date,Infected,binary_score (1:good   0: bad)
2020-11-04,606.0,0.0
2020-11-04,606.0,0.0
2020-11-05,1046.0,0.0
2020-11-05,1046.0,1.0
2020-11-05,1046.0,0.0
2020-11-06,1137.0,0.0
2020-11-06,1137.0,0.0
2020-11-07,1301.0,0.0
2020-11-07,1301.0,0.0
2020-11-07,1301.0,0.0
2020-11-08,934.0,0.0
2020-11-08,934.0,0.0
2020-11-09,770.0,0.0
2020-11-09,770.0,0.0
2020-11-09,770.0,0.0
2020-11-09,770.0,0.0
2020-11-10,1276.0,0.0
2020-11-10,1276.0,0.0
2020-11-11,1540.0,0.0
2020-11-11,1540.0,1.0
2020-11-11,1540.0,0.0
2020-11-11,1540.0,0.0
2020-11-12,1624.0,0.0
2020-11-12,1624.0,0.0
2020-11-12,1624.0,1.0
2020-11-12,1624.0,0.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,1.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,0.0
2020-11-14,1721.0,0.0
2020-11-14,1721.0,0.0
2020-11-15,1428.0,0.0
2020-11-15,1428.0,0.0
2020-11-15,1428.0,0.0
2020-11-16,949.0,0.0
2020-11-16,949.0,0.0
2020-11-17,1685.0,0.0
2020-11-17,1685.0,1.0
2020-11-17,1685.0,0.0
2020-11-17,1685.0,0.0
2020-11-18,2173.0,0.0
2020-11-18,2173.0,0.0
2020-11-19,2382.0,0.0
2020-11-19,2382.0,0.0
2020-11-19,2382.0,0.0
2020-11-19,2382.0,0.0
2020-11-20,2425.0,0.0
2020-11-20,2425.0,0.0
2020-11-21,2570.0,0.0
2020-11-21,2570.0,0.0
2020-11-21,2570.0,0.0
2020-11-21,2570.0,0.0
2020-11-22,2146.0,0.0
2020-11-22,2146.0,0.0
2020-11-22,2146.0,0.0
2020-11-23,1513.0,0.0
2020-11-23,1513.0,0.0
2020-11-23,1513.0,0.0
2020-11-23,1513.0,0.0
2020-11-24,1219.0,0.0
2020-11-24,1219.0,0.0
2020-11-24,1219.0,0.0
2020-11-24,1219.0,0.0
2020-11-25,1925.0,0.0
2020-11-25,1925.0,0.0
2020-11-26,2494.0,0.0
2020-11-26,2494.0,0.0
2020-11-26,2494.0,0.0
2020-11-26,2494.0,0.0
2020-11-27,2510.0,1.0
2020-11-27,2510.0,0.0
2020-11-27,2510.0,0.0
2020-11-27,2510.0,1.0
2020-11-27,2510.0,0.0
2020-11-27,2510.0,0.0
2020-11-28,2667.0,0.0
2020-11-28,2667.0,0.0
2020-11-29,2046.0,0.0
2020-11-29,2046.0,0.0
2020-11-29,2046.0,0.0
2020-11-30,1425.0,0.0
2020-11-30,1425.0,0.0
2020-11-30,1425.0,0.0
2020-11-30,1425.0,0.0
2020-11-30,1425.0,0.0
2020-12-01,2014.0,0.0
2020-12-01,2014.0,0.0
2020-12-01,2014.0,1.0
2020-12-02,2419.0,0.0
2020-12-02,2419.0,0.0
2020-12-02,2419.0,1.0
2020-12-02,2419.0,1.0
2020-12-02,2419.0,1.0
2020-12-02,2419.0,0.0
2020-12-03,2505.0,0.0
2020-12-03,2505.0,0.0
2020-12-03,2505.0,0.0
2020-12-03,2505.0,0.0
2020-12-04,2435.0,0.0
2020-12-04,2435.0,0.0
2020-12-04,2435.0,0.0
2020-12-05,2496.0,0.0
2020-12-05,2496.0,0.0
2020-12-06,2010.0,0.0
2020-12-06,2010.0,0.0
2020-12-07,1502.0,1.0
2020-12-07,1502.0,1.0
2020-12-07,1502.0,1.0
2020-12-07,1502.0,0.0
2020-12-08,2166.0,0.0
2020-12-08,2166.0,0.0
2020-12-08,2166.0,1.0
2020-12-08,2166.0,0.0
2020-12-09,2801.0,0.0
2020-12-09,2801.0,0.0
2020-12-10,2966.0,0.0
2020-12-10,2966.0,0.0
2020-12-10,2966.0,0.0
2020-12-10,2966.0,0.0
2020-12-11,2795.0,0.0
2020-12-11,2795.0,0.0
2020-12-11,2795.0,0.0
2020-12-11,2795.0,1.0
2020-12-11,2795.0,1.0
2020-12-11,2795.0,0.0
2020-12-12,3010.0,0.0
2020-12-12,3010.0,0.0
2020-12-13,2375.0,0.0
2020-12-13,2375.0,0.0
2020-12-13,2375.0,0.0
2020-12-14,1681.0,0.0
2020-12-14,1681.0,0.0
2020-12-14,1681.0,0.0
2020-12-14,1681.0,0.0
2020-12-14,1681.0,0.0
2020-12-15,2400.0,1.0
2020-12-15,2400.0,1.0
