Twitter_ABC,Approximate Betweenness Centrality
0120sakura0120,0.19031828134419113
yu_kom_huk,0.06219655380318819
08LJAPAN,0.038206454479101946
0120_tantakatan,0.033509980008249084
000_asami_000,0.03228826198711506
00takapu00,0.031256941579664264
lnFeeling,0.028718306730554605
01familia_info,0.025418081426712053
0001Wktk,0.023974232856280937
0118th,0.022895313045409333
000oo00o00o,0.022435185479008208
000pa__,0.022006790848220954
0109suki__,0.02003934884016097
0104swsoccer,0.019706153016215328
0116aki,0.01938882366007662
fino_jp,0.019008028432710173
type_galaxy,0.018770031415606143
0903birth,0.018246437977977276
0022Ruri,0.0181671056389426
amamiya_kokoro,0.017675245136927604
wanwan_english,0.017135785231491802
000061w,0.016310728905531164
09634gourmet,0.015517405515184384
012345YAMA,0.014803414463872216
00RADy,0.014486085107733474
0014blog,0.014470218639926537
06aya03,0.014216355155015544
0902sor,0.014025957541332299
00xx_misa,0.01380382699203518
0207Hiroko,0.013375432361247878
018_god,0.01331196649002013
00807,0.013296100022213193
03279days,0.013216767683178508
010325net,0.012994637133881388
349_SafeDriving,0.011931583790816604
0125Sandm1982,0.011915717323009667
085sakura,0.011852251451781919
0120595959,0.011772919112747233
01net,0.011328658014152995
0605_mirai,0.011058928061435064
000chidori,0.011011328658014253
00_yuki_Y,0.010900263383365694
00kuromu00,0.01048773522038533
oshaki518,0.010471868752578392
0000snao,0.01026560467108821
01753shr,0.010091073525211902
110107eiga,0.00999587471837028
1031produce,0.00988480944372172
0330osasama,0.00972614476565235
0109komorebisan,0.009710278297845413
0616_ya,0.009630945958810727
0714Only,0.009630945958810727
0803_maharu,0.009488147748548293
1000ch,0.009488147748548293
01su__zu,0.009313616602671985
0101dakn,0.009297750134865048
0118uw,0.009154951924602615
3blue1brown,0.008885221971884684
1030sf,0.00885348903627081
0000_mz,0.008805889632849999
01_kyo_slave,0.008774156697236125
14WuETdcuj43Hty,0.008710690826008376
01156718,0.008599625551359817
105toko150,0.00858375908355288
0206__nana,0.008393361469869635
0086mian,0.008282296195221075
00WDxjVlYJ5FMRC,0.008155364452765579
00123c1,0.008044299178117019
yuchi030722,0.008028432710310082
0201tTaka,0.00798083330688927
0330Tino,0.007917367435661522
03_nmgk,0.007917367435661522
032886,0.007806302161012963
05_zuka,0.0077745692253990886
01237u1mkmk,0.0077587027575921515
024poka_poka,0.007695236886364403
02Waso,0.007504839272681158
0215_ki,0.007314441658997913
0703Toy,0.007282708723384039
009beniko,0.007235109319963228
0090yusuke,0.007235109319963228
10runeko,0.007219242852156291
0830mrkuro,0.007155776980928542
0308yamane_kj,0.007076444641893857
008_Red,0.007012978770666109
0o0re0o,0.0069971123028591715
0415g_,0.006965379367245297
11hr11minv2,0.006965379367245297
0123_omm,0.006854314092596738
0verfit,0.0067908482213689895
