,Infected,score,infected_scaled,score_scaled
2020-10-04,394.0,-2.0,0.006941736214023867,0.0025
2020-10-05,269.0,3.0,0.0020669214569846335,0.00875
2020-10-05,269.0,-1.0,0.0020669214569846335,0.00375
2020-10-05,269.0,3.0,0.0020669214569846335,0.00875
2020-10-06,495.0,-3.0,0.010880586537711567,0.00125
2020-10-06,495.0,-2.0,0.010880586537711567,0.0025
2020-10-06,495.0,-4.0,0.010880586537711567,0.0
2020-10-07,502.0,2.0,0.011153576164105762,0.0075
2020-10-07,502.0,-2.0,0.011153576164105762,0.0025
2020-10-07,502.0,4.0,0.011153576164105762,0.01
2020-10-08,623.0,-1.0,0.01587239684891974,0.00375
2020-10-08,623.0,-1.0,0.01587239684891974,0.00375
2020-10-09,594.0,0.0,0.01474143982528664,0.005
2020-10-09,594.0,-2.0,0.01474143982528664,0.0025
2020-10-10,666.0,0.0,0.017549333125341238,0.005
2020-10-10,666.0,-1.0,0.017549333125341238,0.00375
2020-10-11,431.0,-4.0,0.008384681382107479,0.0
2020-10-11,431.0,-2.0,0.008384681382107479,0.0025
2020-10-12,272.0,-4.0,0.002183917011153575,0.0
2020-10-12,272.0,-3.0,0.002183917011153575,0.00125
2020-10-13,491.0,-1.0,0.01072459246548631,0.00375
2020-10-13,491.0,-4.0,0.01072459246548631,0.0
2020-10-13,491.0,0.0,0.01072459246548631,0.005
2020-10-13,491.0,-3.0,0.01072459246548631,0.00125
2020-10-14,550.0,2.0,0.013025505030808827,0.0075
2020-10-14,550.0,-1.0,0.013025505030808827,0.00375
2020-10-15,703.0,-4.0,0.018992278293424848,0.0
2020-10-15,703.0,1.0,0.018992278293424848,0.00625
2020-10-15,703.0,-4.0,0.018992278293424848,0.0
2020-10-16,633.0,-1.0,0.01626238202948288,0.00375
2020-10-16,633.0,-3.0,0.01626238202948288,0.00125
2020-10-17,611.0,-2.0,0.015404414632243974,0.0025
2020-10-17,611.0,0.0,0.015404414632243974,0.005
2020-10-18,422.0,2.0,0.008033694719600654,0.0075
2020-10-18,422.0,-2.0,0.008033694719600654,0.0025
2020-10-18,422.0,-1.0,0.008033694719600654,0.00375
2020-10-19,313.0,2.0,0.003782856251462444,0.0075
2020-10-19,313.0,-4.0,0.003782856251462444,0.0
2020-10-19,313.0,-2.0,0.003782856251462444,0.0025
2020-10-20,475.0,-2.0,0.010100616176585288,0.0025
2020-10-20,475.0,-3.0,0.010100616176585288,0.00125
2020-10-21,611.0,-3.0,0.015404414632243974,0.00125
2020-10-21,611.0,0.0,0.015404414632243974,0.005
