年,都道府県,検挙人数
2010,群馬県,5717
2010,埼玉県,19296
2010,千葉県,14988
2010,神奈川県,23304
2010,新潟県,5337
2010,山梨県,1721
2010,長野県,4537
2010,静岡県,8406
2010,富山県,1762
2010,石川県,2051
2010,福井県,1450
2010,岐阜県,3776
2010,愛知県,18100
2010,三重県,3320
2010,滋賀県,2705
2010,京都府,8147
2010,大阪府,22715
2010,兵庫県,16913
2010,奈良県,3168
2010,和歌山県,2721
2010,鳥取県,1336
2010,島根県,1180
2010,岡山県,4619
2010,広島県,7571
2010,山口県,3809
2010,徳島県,1827
2010,香川県,2810
2010,愛媛県,3601
2010,高知県,2080
2010,福岡県,16286
2010,佐賀県,2211
2010,長崎県,3159
2010,熊本県,4607
2010,大分県,2162
2010,宮崎県,2464
2010,鹿児島県,3097
2010,沖縄県,4157
2009,北海道,11479
2009,青森県,2975
2009,岩手県,2311
2009,宮城県,4750
2009,秋田県,1920
2009,山形県,2605
2009,福島県,4047
2009,東京都,46716
2009,茨城県,6734
2009,栃木県,5679
2009,群馬県,4472
2009,埼玉県,19345
2009,千葉県,15278
2009,神奈川県,22558
2009,新潟県,5544
2009,山梨県,1924
2009,長野県,4959
2009,静岡県,8144
2009,富山県,2039
2009,石川県,2163
2009,福井県,1606
2009,岐阜県,4200
2009,愛知県,18186
2009,三重県,3579
2009,滋賀県,2971
2009,京都府,8489
2009,大阪府,25556
2009,兵庫県,18793
2009,奈良県,3241
2009,和歌山県,2780
2009,鳥取県,1411
2009,島根県,1300
2009,岡山県,5191
2009,広島県,7680
2009,山口県,3644
2009,徳島県,1865
2009,香川県,3052
2009,愛媛県,3645
2009,高知県,2034
2009,福岡県,15938
2009,佐賀県,2046
2009,長崎県,3261
2009,熊本県,4881
2009,大分県,2133
2009,宮崎県,2426
2009,鹿児島県,3322
2009,沖縄県,4016
2008,北海道,12643
2008,青森県,2967
2008,岩手県,2321
2008,宮城県,4949
2008,秋田県,1839
2008,山形県,2445
2008,福島県,4281
2008,東京都,46784
2008,茨城県,6590
2008,栃木県,5097
2008,群馬県,4250
2008,埼玉県,18289
2008,千葉県,16046
2008,神奈川県,26969
2008,新潟県,5800
2008,山梨県,1947
2008,長野県,5005
2008,静岡県,8130
2008,富山県,2142
2008,石川県,2195
2008,福井県,1696
2008,岐阜県,4375
2008,愛知県,16488
2008,三重県,3545
2008,滋賀県,2585
2008,京都府,8412
2008,大阪府,28042
2008,兵庫県,17965
2008,奈良県,3359
2008,和歌山県,2539
2008,鳥取県,1532
2008,島根県,1304
2008,岡山県,5269
2008,広島県,7667
2008,山口県,4151
2008,徳島県,2024
2008,香川県,2843
2008,愛媛県,3764
2008,高知県,1991
2008,福岡県,18125
2008,佐賀県,1810
2008,長崎県,3328
2008,熊本県,4687
2008,大分県,2116
2008,宮崎県,2562
2008,鹿児島県,3012
2008,沖縄県,3872
2007,北海道,13888
2007,青森県,3087
2007,岩手県,2453
2007,宮城県,5168
2007,秋田県,1996
2007,山形県,2356
2007,福島県,4872
2007,東京都,53702
2007,茨城県,6892
2007,栃木県,5520
2007,群馬県,4282
2007,埼玉県,19307
2007,千葉県,17604
2007,神奈川県,28841
2007,新潟県,5642
2007,山梨県,2060
2007,長野県,4867
2007,静岡県,8511
2007,富山県,2046
2007,石川県,2403
2007,福井県,1603
2007,岐阜県,4529
2007,愛知県,19201
2007,三重県,3890
2007,滋賀県,2517
2007,京都府,9550
2007,大阪府,30113
2007,兵庫県,19335
2007,奈良県,3474
2007,和歌山県,2897
2007,鳥取県,1572
2007,島根県,1418
2007,岡山県,5420
2007,広島県,8179
2007,山口県,4311
2007,徳島県,2027
2007,香川県,3000
2007,愛媛県,3660
2007,高知県,2193
2007,福岡県,18898
2007,佐賀県,2079
2007,長崎県,3753
2007,熊本県,4234
2007,大分県,2175
2007,宮崎県,2868
2007,鹿児島県,3224
2007,沖縄県,3960
2006,北海道,13485
2006,青森県,3242
2006,岩手県,2677
2006,宮城県,5585
2006,秋田県,2287
2006,山形県,2542
2006,福島県,5166
2006,東京都,58775
2006,茨城県,6622
2006,栃木県,5447
2006,群馬県,4144
2006,埼玉県,20255
2006,千葉県,19895
2006,神奈川県,31447
2006,新潟県,5712
2006,山梨県,2047
2006,長野県,4947
2006,静岡県,9038
2006,富山県,2432
2006,石川県,2957
2006,福井県,1670
2006,岐阜県,4751
2006,愛知県,19946
2006,三重県,4189
2006,滋賀県,2639
2006,京都府,9941
2006,大阪府,30531
2006,兵庫県,19037
2006,奈良県,3793
2006,和歌山県,3030
2006,鳥取県,1734
2006,島根県,1610
2006,岡山県,6123
2006,広島県,7856
2006,山口県,4318
2006,徳島県,2036
2006,香川県,3171
2006,愛媛県,3732
2006,高知県,2186
2006,福岡県,19712
2006,佐賀県,1762
2006,長崎県,3676
2006,熊本県,4711
2006,大分県,2730
2006,宮崎県,3142
2006,鹿児島県,3334
2006,沖縄県,4188
