Year,Pref,#Arrested
2011,Ehime,3803
2011,Kochi,1856
2011,Fukuoka,14408
2011,Saga,2018
2011,Nagasaki,3251
2011,Kumamoto,4385
2011,Oita,1833
2011,Miyazaki,2278
2011,Kagoshima,2937
2011,Okinawa,3874
2010,Hokkaido,10563
2010,Aomori,2998
2010,Iwate,1997
2010,Miyagi,4549
2010,Akita,1964
2010,Yamagata,2645
2010,Fukushima,4193
2010,Tokyo,44548
2010,Ibaraki,6643
2010,Tochigi,5410
2010,Gunma,5717
2010,Saitama,19296
2010,Chiba,14988
2010,Kanagawa,23304
2010,Niigata,5337
2010,Yamanashi,1721
2010,Nagano,4537
2010,Shizuoka,8406
2010,Toyama,1762
2010,Ishikawa,2051
2010,Fukui,1450
2010,Gifu,3776
2010,Aichi,18100
2010,Mie,3320
2010,Shiga,2705
2010,Kyoto,8147
2010,Osaka,22715
2010,Hyogo,16913
2010,Nara,3168
2010,Wakayama,2721
2010,Tottori,1336
2010,Shimane,1180
2010,Okayama,4619
2010,Hiroshima,7571
2010,Yamaguchi,3809
2010,Tokushima,1827
2010,Kagawa,2810
2010,Ehime,3601
2010,Kochi,2080
2010,Fukuoka,16286
2010,Saga,2211
2010,Nagasaki,3159
2010,Kumamoto,4607
2010,Oita,2162
2010,Miyazaki,2464
2010,Kagoshima,3097
2010,Okinawa,4157
2009,Hokkaido,11479
2009,Aomori,2975
2009,Iwate,2311
2009,Miyagi,4750
2009,Akita,1920
2009,Yamagata,2605
2009,Fukushima,4047
2009,Tokyo,46716
2009,Ibaraki,6734
2009,Tochigi,5679
2009,Gunma,4472
2009,Saitama,19345
2009,Chiba,15278
2009,Kanagawa,22558
2009,Niigata,5544
2009,Yamanashi,1924
2009,Nagano,4959
2009,Shizuoka,8144
2009,Toyama,2039
2009,Ishikawa,2163
2009,Fukui,1606
2009,Gifu,4200
2009,Aichi,18186
2009,Mie,3579
2009,Shiga,2971
2009,Kyoto,8489
2009,Osaka,25556
2009,Hyogo,18793
2009,Nara,3241
2009,Wakayama,2780
2009,Tottori,1411
2009,Shimane,1300
2009,Okayama,5191
2009,Hiroshima,7680
2009,Yamaguchi,3644
2009,Tokushima,1865
2009,Kagawa,3052
2009,Ehime,3645
2009,Kochi,2034
2009,Fukuoka,15938
2009,Saga,2046
2009,Nagasaki,3261
2009,Kumamoto,4881
2009,Oita,2133
2009,Miyazaki,2426
2009,Kagoshima,3322
2009,Okinawa,4016
2008,Hokkaido,12643
2008,Aomori,2967
2008,Iwate,2321
2008,Miyagi,4949
2008,Akita,1839
2008,Yamagata,2445
2008,Fukushima,4281
2008,Tokyo,46784
2008,Ibaraki,6590
2008,Tochigi,5097
2008,Gunma,4250
2008,Saitama,18289
2008,Chiba,16046
2008,Kanagawa,26969
2008,Niigata,5800
2008,Yamanashi,1947
2008,Nagano,5005
2008,Shizuoka,8130
2008,Toyama,2142
2008,Ishikawa,2195
2008,Fukui,1696
2008,Gifu,4375
2008,Aichi,16488
2008,Mie,3545
2008,Shiga,2585
2008,Kyoto,8412
