日付,死亡者数
2020/11/19,1942.0
2020/11/20,1962.0
2020/11/21,1973.0
2020/11/22,1980.0
2020/11/23,1988.0
2020/11/24,2000.0
2020/11/25,2021.0
2020/11/26,2050.0
2020/11/27,2073.0
2020/11/28,2105.0
2020/11/29,2118.0
2020/11/30,2138.0
2020/12/1,2171.0
2020/12/2,2212.0
2020/12/3,2239.0
2020/12/4,2282.0
2020/12/5,2314.0
2020/12/6,2334.0
2020/12/7,2381.0
2020/12/8,2419.0
2020/12/9,2464.0
2020/12/10,2501.0
2020/12/11,2533.0
2020/12/12,2561.0
2020/12/13,2584.0
2020/12/14,2642.0
2020/12/15,2687.0
2020/12/16,2738.0
2020/12/17,2782.0
2020/12/18,2827.0
2020/12/19,2872.0
2020/12/20,2899.0
2020/12/21,2943.0
2020/12/22,2993.0
2020/12/23,3049.0
2020/12/24,3104.0
2020/12/25,3154.0
2020/12/26,3212.0
2020/12/27,3251.0
2020/12/28,3305.0
2020/12/29,3348.0
2020/12/30,3413.0
2020/12/31,3459.0
2021/1/1,3513.0
2021/1/2,3547.0
2021/1/3,3598.0
2021/1/4,3654.0
2021/1/5,3718.0
2021/1/6,3790.0
2021/1/7,3856.0
2021/1/8,3931.0
2021/1/9,3995.0
2021/1/10,4043.0
2021/1/11,4093.0
2021/1/12,4144.0
2021/1/13,4232.0
2021/1/14,4314.0
2021/1/15,4379.0
2021/1/16,4445.0
2021/1/17,4500.0
2021/1/18,4547.0
2021/1/19,4646.0
2021/1/20,4742.0
2021/1/21,4829.0
2021/1/22,4934.0
2021/1/23,5018.0
2021/1/24,5083.0
2021/1/25,5157.0
2021/1/26,5251.0
2021/1/27,5360.0
2021/1/28,5450.0
2021/1/29,5544.0
2021/1/30,5652.0
2021/1/31,5720.0
2021/2/1,5792.0
2021/2/2,5910.0
2021/2/3,6018.0
2021/2/4,6133.0
2021/2/5,6241.0
2021/2/6,6336.0
2021/2/7,6393.0
2021/2/8,6474.0
2021/2/9,6555.0
2021/2/10,6676.0
2021/2/11,6772.0
2021/2/12,6847.0
2021/2/13,6910.0
2021/2/14,6950.0
2021/2/15,7013.0
2021/2/16,7100.0
2021/2/17,7194.0
2021/2/18,7272.0
2021/2/19,7331.0
2021/2/20,7415.0
2021/2/21,7472.0
2021/2/22,7527.0
2021/2/23,7582.0
2021/2/24,7645.0
2021/2/25,7720.0
2021/2/26,7805.0
2021/2/27,7858.0
2021/2/28,7885.0
2021/3/1,7931.0
2021/3/2,7982.0
2021/3/3,8050.0
2021/3/4,8117.0
2021/3/5,8176.0
2021/3/6,8225.0
2021/3/7,8251.0
2021/3/8,8296.0
2021/3/9,8350.0
2021/3/10,8400.0
2021/3/11,8449.0
2021/3/12,8507.0
2021/3/13,8558.0
2021/3/14,8588.0
2021/3/15,8620.0
2021/3/16,8676.0
2021/3/17,8715.0
2021/3/18,8756.0
2021/3/19,8788.0
2021/3/20,8810.0
2021/3/21,8833.0
2021/3/22,8859.0
2021/3/23,8906.0
2021/3/24,8936.0
2021/3/25,8965.0
2021/3/26,8996.0
2021/3/27,9028.0
2021/3/28,9058.0
2021/3/29,9083.0
2021/3/30,9110.0
2021/3/31,9159.0
2021/4/1,9182.0
2021/4/2,9209.0
2021/4/3,9217.0
2021/4/4,9227.0
2021/4/5,9245.0
2021/4/6,9275.0
2021/4/7,9297.0
2021/4/8,9330.0
2021/4/9,9350.0
2021/4/10,9379.0
2021/4/11,9397.0
2021/4/12,9422.0
2021/4/13,9466.0
2021/4/14,9497.0
2021/4/15,9535.0
2021/4/16,9581.0
2021/4/17,9619.0
2021/4/18,9638.0
2021/4/19,9668.0
2021/4/20,9707.0
2021/4/21,9761.0
2021/4/22,9797.0
2021/4/23,9851.0
2021/4/24,9910.0
2021/4/25,9969.0
2021/4/26,10001.0
2021/4/27,10052.0
2021/4/28,10104.0
2021/4/29,10191.0
2021/4/30,10226.0
2021/5/1,10293.0
2021/5/2,10358.0
2021/5/3,10416.0
2021/5/4,10466.0
2021/5/5,10513.0
2021/5/6,10585.0
2021/5/7,10698.0
2021/5/8,10819.0
2021/5/9,10872.0
2021/5/10,10937.0
2021/5/11,11060.0
2021/5/12,11161.0
2021/5/13,11251.0
2021/5/14,11361.0
2021/5/15,11459.0
2021/5/16,11504.0
2021/5/17,11620.0
2021/5/18,11848.0
2021/5/19,11939.0
2021/5/20,12049.0
2021/5/21,12158.0
2021/5/22,12246.0
2021/5/23,12308.0
2021/5/24,12394.0
2021/5/25,12492.0
2021/5/26,12597.0
2021/5/27,12710.0
2021/5/28,12816.0
2021/5/29,12917.0
2021/5/30,12964.0
2021/5/31,13045.0
2021/6/1,13136.0
2021/6/2,13241.0
2021/6/3,13360.0
2021/6/4,13445.0
2021/6/5,13519.0
2021/6/6,13570.0
2021/6/7,13641.0
2021/6/8,13739.0
2021/6/9,13837.0
2021/6/10,13903.0
2021/6/11,13972.0
2021/6/12,14028.0
2021/6/13,14066.0
2021/6/14,14121.0
2021/6/15,14182.0
2021/6/16,14264.0
2021/6/17,14315.0
2021/6/18,14360.0
2021/6/19,14394.0
2021/6/20,14417.0
2021/6/21,14449.0
2021/6/22,14491.0
2021/6/23,14548.0
2021/6/24,14593.0
2021/6/25,14621.0
2021/6/26,14652.0
2021/6/27,14665.0
2021/6/28,14700.0
2021/6/29,14735.0
2021/6/30,14776.0
2021/7/1,14797.0
2021/7/2,14819.0
2021/7/3,14837.0
2021/7/4,14843.0
2021/7/5,14857.0
2021/7/6,14879.0
2021/7/7,14892.0
2021/7/8,14912.0
2021/7/9,14928.0
2021/7/10,14943.0
2021/7/11,14950.0
2021/7/12,14954.0
2021/7/13,14966.0
2021/7/14,14985.0
2021/7/15,15009.0
2021/7/16,15022.0
2021/7/17,15035.0
2021/7/18,15043.0
2021/7/19,15055.0
2021/7/20,15074.0
2021/7/21,15092.0
2021/7/22,15101.0
2021/7/23,15110.0
2021/7/24,15118.0
2021/7/25,15123.0
2021/7/26,15131.0
2021/7/27,15145.0
2021/7/28,15153.0
2021/7/29,15166.0
2021/7/30,15177.0
2021/7/31,15185.0
2021/8/1,15190.0
2021/8/2,15197.0
2021/8/3,15212.0
2021/8/4,15221.0
2021/8/5,15233.0
2021/8/6,15248.0
2021/8/7,15266.0
2021/8/8,15273.0
2021/8/9,15290.0
2021/8/10,15304.0
2021/8/11,15323.0
2021/8/12,15351.0
2021/8/13,15376.0
2021/8/14,15393.0
2021/8/15,15401.0
2021/8/16,15424.0
2021/8/17,15460.0
2021/8/18,15494.0
2021/8/19,15527.0
2021/8/20,15556.0
2021/8/21,15589.0
